#Matricies, Serial, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0976309, 0.252022, 0.214015, 0.0257168
af_shell3, 4.17181, 0.164168, 0.673344, 0.766572
bmwcra_1, 9.90856, 0.0832421, 0.229096, 1.58458
crankseg_2, 127.467, 0.0787733, 0.225215, 22.9427
