#Matricies, Serial, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0987799, 0.45753, 0.153308, 0.0413473
af_shell3, 4.20913, 5.29849, 0.592, 0.744971
bmwcra_1, 9.9895, 10.8715, 0.10317, 1.65107
crankseg_2, 127.961, 131.876, 0.122024, 21.6101
