#Matricies, Serial, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0985491, 0.421953, 0.217804, 0.0439505
af_shell3, 4.21031, 0.518005, 0.673961, 0.782269
bmwcra_1, 9.98636, 0.228743, 0.223014, 1.68369
crankseg_2, 127.899, 0.212168, 0.224884, 22.8001
