#Matricies, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0889561, 0.0459174, 0.00926564
af_shell3, 0.559564, 0.728033, 0.845031
bmwcra_1, 0.500933, 0.488386, 3.68716
crankseg_2, 0.0502554, 0.0532673, 5.40056
