#Matricies, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.106254, 0.0356034, 0.00960228
af_shell3, 0.506527, 0.0565942, 0.071218
bmwcra_1, 0.68127, 0.00646519, 0.103466
crankseg_2, 0.715182, 0.000661758, 0.117195
