#Matricies, Serial, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0286583, 0.587434, 0.122873, 0.0194161
af_shell3, 0.0388029, 0.543915, 0.507135, 0.0375241
bmwcra_1, 0.0219996, 0.235367, 0.135075, 0.0234333
crankseg_2, 0.0275034, 0.213194, 0.118938, 0.0313403
