#Matricies, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.101749, 0.0864045, 0.0103827
af_shell3, 0.26617, 1.09171, 1.24286
bmwcra_1, 0.229221, 0.630855, 4.36342
crankseg_2, 0.0185803, 0.0531215, 5.41151
