#Matricies, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.126075, 0.085164, 0.00818384
af_shell3, 0.765588, 0.540336, 0.638532
bmwcra_1, 1.50512, 0.0971613, 1.39948
crankseg_2, 1.46951, 0.0152465, 1.50142
