#Matricies, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0290761, 0.00588483, 0.000869005
af_shell3, 0.0178675, 0.0169274, 0.00122946
bmwcra_1, 0.0339963, 0.0197237, 0.00308885
crankseg_2, 0.0478692, 0.0276528, 0.00434936
