#Matricies, Serial, Inspector:Dependence, Inspector:LevelBuild, Executor
G3_circuit, 0.0975747, 0.255507, 0.172596, 0.0165857
af_shell3, 4.17476, 0.845339, 0.596622, 0.705047
bmwcra_1, 9.90836, 1.65509, 0.106843, 1.53892
crankseg_2, 127.474, 21.007, 0.217953, 21.4632
